Order,Design No,Design,Curve01,Curve02,Curve03,Curve04,Curve05,Curve06,Curve07,Curve08,Curve09,Curve10,File01,File02,File03,File04,File05,File06,File07,File08,File09,File10
1,A0126  ,APPLICATOR                    ,Missing, , , , , , , , , ,Missing, , , , , , , , , ,
35,16556  ,SINGLE BUBBLE BORDER II       ,EQ1, , , , , , , , , ,eQ1.txt, , , , , , , , , ,
36,C5511  ,DUCHESSE DE BRABANT           ,FAS15,FAS15,FAS15,FAS15,FAS15,FAS15,FAS15,FAS15, , ,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt, , ,
37,A7443  ,SLY DOT                       ,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13, , ,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt, , ,
38,8536   ,POCATELLO                     ,FAS15,FAS15,FAS15,FAS15, , , , , , ,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt, , , , , , ,
39,17150  ,BADGER STATIC                 ,EQ1,EQ1,EQ1,EQ1,EQ1, , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , ,
40,13203  ,GULFPORT STRIPE III           ,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8, , , , ,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt, , , , ,
41,9731,JOURADO,FAS15, , , , , , , , , ,Fashion15.txt, , , , , , , , , ,
42,16411,BLACK & WHITE DBL BORDER,EQ1,EQ1, , , , , , , , ,eQ1.txt,eQ1.txt, , , , , , , , ,
43,C5194,FLAX II,NC, , , , , , , , , ,Missing, , , , , , , , , ,
44,X8115  ,LUXURY STRIE                  ,FAS15,FAS15,FAS15,FAS15,FAS15,FAS15, , , , ,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt, , , , ,
45,17127,ITALY NEGATIVE,EQ1, , , , , , , , , ,eQ1.txt, , , , , , , , , ,
46,16203,SWISS DOT WILD ROSE BORDER,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , ,
47,12104  ,TYBEE                         ,AVA8,AVA8,AVA8,AVA8, , , , , , ,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt, , , , , , ,
48,C3960  ,BURL                          ,NC,NC,NC, , , , , , , ,Missing,Missing,Missing, , , , , , , ,
49,17070  ,COLGATE STRIPE                ,EQ1,EQ1, , , , , , , , ,eQ1.txt,eQ1.txt, , , , , , , , ,
50,C6790  ,KILEY TEXTURE                 ,FAS15, , , , , , , , , ,Fashion15.txt, , , , , , , , , ,
51,15423  ,RAIN TREE TURN                ,EQ1,EQ1,EQ1, , , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , , ,
52,15165  ,MALIA II                      ,EQ1,EQ1,EQ1,EQ1, , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , ,
53,A7049,PIPER STRIPE,DEC59/3,DEC59/3,DEC59/3,DEC59/3,DEC59/3,DEC59/3,DEC59/3,DEC59/3, , ,Decorflair 59-3.txt,Decorflair 59-3.txt,Decorflair 59-3.txt,Decorflair 59-3.txt,Decorflair 59-3.txt,Decorflair 59-3.txt,Decorflair 59-3.txt,Decorflair 59-3.txt, , ,
54,16500  ,GRITTI TEXTURE                ,EQ1,EQ1,EQ1,EQ1, , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , ,
55,13914,WILD,DEC59/5,DEC59/5,DEC59/5,DEC59/5,DEC59/5, , , , , ,Decorflair 59-5.txt,Decorflair 59-5.txt,Decorflair 59-5.txt,Decorflair 59-5.txt,Decorflair 59-5.txt, , , , , ,
56,13453  ,EVERLINA BORDER               ,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8, , , , ,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt, , , , ,
57,C4518  ,MELAGE BORDER II              ,FAS15,FAS15,FAS15,FAS15,FAS15,FAS15,FAS15, , , ,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt, , , ,
58,C6296,CHEETAH,DEC59,DEC59,DEC59, , , , , , , ,Missing,Missing,Missing, , , , , , , ,
59,8536,POCATELLO,FAS15,FAS15,FAS15,FAS15, , , , , , ,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt, , , , , , ,
60,C4325  ,PRIDE STRIPE                  ,FAS15, , , , , , , , , ,Fashion15.txt, , , , , , , , , ,
61,11715  ,GATANO                        ,AVA8, , , , , , , , , ,AVA8.txt, , , , , , , , , ,
62,9484,YACARIO,FAS15, , , , , , , , , ,Fashion15.txt, , , , , , , , , ,
63,16187  ,ROSEBANK                      ,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , ,
64,13077,SATSUMA,AVA8, , , , , , , , , ,AVA8.txt, , , , , , , , , ,
65,C5857  ,MAXIME II                     ,NC,NC,NC,NC,NC,NC, , , , ,Missing,Missing,Missing,Missing,Missing,Missing, , , , ,
66,9972,LEATHER II,FAS15, , , , , , , , , ,Fashion15.txt, , , , , , , , , ,
67,15712  ,CREEPING                      ,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , ,
68,11013  ,STARZIE II                    ,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13, , , , ,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt, , , , ,
69,9728   ,ASTONSHIRE                    ,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8, , , , ,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt, , , , ,
70,X10014 ,MICRO EXTRA                   ,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13, , , , ,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt, , , , ,
71,X7754  ,SHANTUNG BANGLADESH II        ,CSS13,CSS13,CSS13, , , , , , , ,CSS13.txt,CSS13.txt,CSS13.txt, , , , , , , ,
72,17028,AERO M611,EQ1,EQ1,EQ1,EQ1, , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , ,
73,12382  ,SHANTA                        ,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8, , , , ,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt, , , , ,
74,16480  ,PYRENEES                      ,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , ,
75,13021  ,WEEAM                         ,AVA8,AVA8,AVA8, , , , , , , ,AVA8.txt,AVA8.txt,AVA8.txt, , , , , , , ,
76,9341   ,ARGENTINA                     ,K2,K2,K2,K2, , , , , , ,K2B.txt,K2B.txt,K2B.txt,K2B.txt, , , , , , ,
77,9016,VERTIGO,DEC59/5,DEC59/5,DEC59/5,DEC59/5, , , , , , ,Decorflair 59-5.txt,Decorflair 59-5.txt,Decorflair 59-5.txt,Decorflair 59-5.txt, , , , , , ,
